path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
case.priorProcedures[].therapyResponseDate,string,no,yes,,date,,procedure_occurrence,procedure_source_value + procedure_concept_id,OPS (source) -> SNOMED (standard),prior procedure; dates -> procedure_date,DRAFT,
case.priorProcedures[].therapyStartDate,string,yes,yes,,date,"Date when the therapy started. If the day is unknown, use the 15th of the month.",procedure_occurrence,procedure_source_value + procedure_concept_id,OPS (source) -> SNOMED (standard),prior procedure; dates -> procedure_date,DRAFT,
case.priorProcedures[].treatmentType,string,yes,yes,"O, A, N, I, S",,,procedure_occurrence,procedure_source_value + procedure_concept_id,OPS (source) -> SNOMED (standard),prior procedure; dates -> procedure_date,DRAFT,
followUp.followUpOds[].additionalDiagnoses[].code,string,yes,yes,,,Symbol in syntax defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
followUp.followUpOds[].additionalDiagnoses[].date,string,yes,yes,,date,Date of the additional diagnosis.,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
followUp.followUpOds[].additionalDiagnoses[].display,string,no,yes,,,Representation defined by the system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
followUp.followUpOds[].additionalDiagnoses[].system,string,no,yes,,uri,Identity of the terminology system,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
followUp.followUpOds[].additionalDiagnoses[].version,string,yes,yes,,,Version of the system - if relevant,condition_occurrence,condition_source_concept_id + condition_concept_id,ICD-10-GM -> SNOMED,,DRAFT,
followUp.followUpOds[].deathDate,string,no,yes,,date,Date of death.,death,death.death_date,-,,DRAFT,
followUp.followUpOds[].ecogPerformanceStatusScore,string,yes,yes,"0, 1, 2, 3, 4, 5, unknown, notApplicable",,ECOG Performance Status.,,,,,TODO,
followUp.followUpOds[].followUpDate,string,yes,yes,,date,Date of the follow-up.,,,,,TODO,
followUp.followUpOds[].lastContactDate,string,no,yes,,date,Date of the last contact with the patient.,,,,,TODO,
followUp.followUpOds[].metachroneDiagnoses,boolean,yes,yes,,,Indicates if metachronous tumors are observed.,,,,,TODO,
followUp.followUpOds[].phenotypes[].change,string,yes,yes,"newlyAdded, improved, degraded, noLongerObserved, unchanged",,,,,,,TODO,
followUp.followUpOds[].phenotypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
followUp.followUpOds[].phenotypes[].display,string,no,yes,,,Representation defined by the system,,,,,TODO,
followUp.followUpOds[].phenotypes[].system,string,no,yes,,uri,Identity of the terminology system,,,,,TODO,
followUp.followUpOds[].phenotypes[].text,string,no,yes,,,Clinical description of the phenotype,,,,,TODO,
